"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","JLC#"
"C1,C2,C3,C4,C6,C31,C38,C43","8","100nF","","","",""
"C5,C32","2","10uF","","","",""
"C7,C8,C9","3","1uF","","","",""
"C10,C11,C12,C13,C16,C17,C18,C19,C20,C21,C22,C23,C26,C27,C28,C29","16",".01uF","","","",""
"C14,C15,C24,C25,C48","5","0.1uF","","","",""
"C30","1","470pF","","","",""
"C33","1","2.2uF","","","",""
"C34,C35,C36,C37,C39,C40,C41,C42,C44","9","22uF","","","",""
"C45","1","1uF","","","",""
"C46","1","2.2uF","","","",""
"C47","1","10nF","","","",""
"C49,C50","2","1uf","","","",""
"D1,D2,D4,D10","4","White","","","","C965808"
"D3","1","BLUE","","","","C965807"
"D5,D6,D7,D8","4","D","","","","C8678"
"D9","1","Red","","","","C965799"
"D11","1","Blue","","","","C965807"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","",""
"IC1","1","LM66200DRLR","","","","C3235556"
"J2","1","USB_C_Receptacle_USB2.0_16P","","","","C2765186"
"J3,J4,J5,J7,J8,J9,J10,J11,J12,J14,J15,J16","12","Conn_01x03","","","","C918121"
"J18,J19,J20,J21,J26,J27,J28,J29","8","Conn_01x02","","","","C918120"
"J22","1","Conn_01x02","","","","C431092"
"J23","1","Conn_01x02","","","","C189893"
"J24","1","Conn_01x04","","","","C189895"
"J25,J31,J33","3","Conn_01x02","","",""," C161690,C161690"
"J30","1","Conn_01x04","","","","C189895"
"J34","1","Conn_01x02","","","",""
"J35","1","Conn_02x06_Odd_Even","","","",""
"J36","1","Conn_01x02","","","","C158012"
"JP1,JP2","2","SolderJumper_2_Open","","Excluded from BOM","",""
"L1","1","1.5uH","","","","C5189745 "
"L2","1","4.7uH","","","","C167874"
"PS1","1","TPS513885VABR","","","","C41935536"
"Q1,Q2,Q3,Q4","4","CSD13381F4","","","","C179868"
"Q5","1","SSM3J328R","","","","C396016"
"Q6","1","L2N7002SLLT1G","","","","C22446827"
"R1,R2,R22,R33","4","4.7K","","","",""
"R3","1","10k","","","",""
"R4,R5","2","5.1k","","","",""
"R6,R7,R8,R9,R10,R11,R12,R13,R18,R20,R21,R28,R29,R30","14","100","","","",""
"R14","1","1k","","","",""
"R15,R17","2","0","","","",""
"R16,R27","2","100k","","","",""
"R19","1","200","","","",""
"R23,R25","2","20k","","","",""
"R26","1","200k","","","",""
"R31,R32","2","5","","","",""
"SW1,SW2","2","SW_Push","","",""," C231329,C231329"
"TP1,TP4,TP5,TP6","4","TestPoint","","","",""
"U1","1","STM32F103C8Tx","","","","C8734"
"U2","1","CH340N","","","","C2977777"
"U3,U4","2","ADS7828","","",""," C701649 "
"U5,U6,U7,U8","4","MAX31856","","","","C2653162"
"U9","1","AP63203WU","","","","C780769"
"U10","1","LP2985-3.3","","","","C95414"
"U11","1","SP3485EN","","","","C8963"
"U12","1","ADS1231ID","","","","C486034 "
"U13","1","TCA9517ADGK","","",""," C201698"
